Episode,Round,CurrentState,ManufacturerAction,RetailerAction,ManufacturerReward,RetailerReward,NextState,ManufacturerEpsilon,RetailerEpsilon
0,0,0,9,1,405,-540.0,0,0.998,0.998
0,1,0,5,0,335,249.82178217821786,0,0.996,0.996
0,2,0,2,0,174,525.4752475247524,0,0.994,0.994
0,3,0,9,0,360,-480.0,0,0.992,0.992
0,4,0,5,4,500,248.51485148514848,0,0.99,0.99
0,5,0,9,4,540,-6.534653465346537,0,0.988,0.988
0,6,0,9,4,540,-6.534653465346537,0,0.986,0.986
0,7,0,0,1,0,775.9603960396039,0,0.984,0.984
0,8,0,9,0,360,-480.0,0,0.982,0.982
0,9,0,9,3,495,-1.7821782178217518,0,0.98,0.98
0,10,0,4,4,440,332.5742574257424,0,0.978,0.978
0,11,0,1,0,93,631.6039603960396,0,0.976,0.976
0,12,0,1,3,128,657.9405940594061,0,0.974,0.974
0,13,0,7,3,511,113.20792079207922,0,0.972,0.972
0,14,0,7,4,560,104.75247524752467,0,0.97,0.97
0,15,0,4,1,328,347.26732673267315,0,0.968,0.968
0,16,0,4,1,328,347.26732673267315,0,0.966,0.966
0,17,0,0,3,0,776.7326732673268,0,0.964,0.964
0,18,0,1,3,128,657.9405940594061,0,0.962,0.962
0,19,0,0,3,0,776.7326732673268,0,0.96,0.96
0,20,0,2,0,174,525.4752475247524,0,0.958,0.958
0,21,0,5,1,375,261.38613861386136,0,0.956,0.956
0,22,0,1,4,140,633.4653465346535,0,0.954,0.954
0,23,0,5,3,460,260.7128712871288,0,0.952,0.952
0,24,0,1,3,128,657.9405940594061,0,0.95,0.95
0,25,0,5,4,500,248.51485148514848,0,0.948,0.948
0,26,0,4,1,328,347.26732673267315,0,0.946,0.946
0,27,0,7,1,420,113.46534653465346,0,0.944,0.944
0,28,0,4,0,292,332.2079207920792,0,0.942,0.942
0,29,0,7,1,420,113.46534653465346,0,0.94,0.94
0,30,0,1,0,93,631.6039603960396,0,0.938,0.938
0,31,0,9,2,450,0.0,0,0.9359999999999999,0.9359999999999999
0,32,0,5,2,415,265.34653465346537,0,0.9339999999999999,0.9339999999999999
0,33,0,0,1,0,775.9603960396039,0,0.9319999999999999,0.9319999999999999
0,34,0,2,0,174,525.4752475247524,0,0.9299999999999999,0.9299999999999999
0,35,0,4,4,440,332.5742574257424,0,0.9279999999999999,0.9279999999999999
0,36,0,7,0,371,105.28712871287121,0,0.9259999999999999,0.9259999999999999
0,37,0,0,0,0,748.5148514851485,0,0.9239999999999999,0.9239999999999999
0,38,0,5,0,335,249.82178217821786,0,0.9219999999999999,0.9219999999999999
0,39,0,9,2,450,0.0,0,0.9199999999999999,0.9199999999999999
0,40,0,9,2,450,0.0,0,0.9179999999999999,0.9179999999999999
0,41,0,7,1,420,113.46534653465346,0,0.9159999999999999,0.9159999999999999
0,42,0,8,3,512,51.524752475247624,0,0.9139999999999999,0.9139999999999999
0,43,0,0,0,0,748.5148514851485,0,0.9119999999999999,0.9119999999999999
0,44,0,3,0,240,424.75247524752467,0,0.9099999999999999,0.9099999999999999
0,45,0,5,2,415,265.34653465346537,0,0.9079999999999999,0.9079999999999999
0,46,0,6,3,492,183.26732673267315,0,0.9059999999999999,0.9059999999999999
0,47,0,2,1,196,546.2772277227723,0,0.9039999999999999,0.9039999999999999
0,48,0,9,4,540,-6.534653465346537,0,0.9019999999999999,0.9019999999999999
0,49,0,7,2,469,115.82178217821786,0,0.8999999999999999,0.8999999999999999
0,50,0,9,2,450,0.0,0,0.8979999999999999,0.8979999999999999
0,51,0,6,0,360,173.46534653465346,0,0.8959999999999999,0.8959999999999999
0,52,0,1,4,140,633.4653465346535,0,0.8939999999999999,0.8939999999999999
0,53,0,4,3,404,347.4554455445543,0,0.8919999999999999,0.8919999999999999
0,54,0,9,3,495,-1.7821782178217518,0,0.8899999999999999,0.8899999999999999
0,55,0,9,4,540,-6.534653465346537,0,0.8879999999999999,0.8879999999999999
0,56,0,9,0,360,-480.0,0,0.8859999999999999,0.8859999999999999
0,57,0,3,0,240,424.75247524752467,0,0.8839999999999999,0.8839999999999999
0,58,0,0,1,0,775.9603960396039,0,0.8819999999999999,0.8819999999999999
0,59,0,9,4,540,-6.534653465346537,0,0.8799999999999999,0.8799999999999999
