Experiment,Period,Player ID,Demand,Wholesale p.,Player ID.1,Stock,Sales,Leftovers,Unmet_Demand,Realized_Mfg_Profit,Total_Revenue,Realized_Mfg_Profit_Share,Optimal_Stock,Under/Overstock_wrt_Optimal,Expected Sales,Expected_Leftovers,Expected Retailer Profit,Expected Mfg Profit,Total Expected Revenue,Expected Mfg. Profit Share,Predicted Sales,Predicted Leftovers,Predicted Retailer Profit,Predicted Mfg Profit,Predicted Mfg. Profit Share
1,1,Manufacturer 1,122,8,Retailer 1,60,60,0,62,300,480,0.625,83,-23,59.45544554455446,23.544554455445542,297.2772277227723,415,664,0.625,83,0,415,415,0.625
1,2,Manufacturer 1,144,7,Retailer 1,80,80,0,64,320,560,0.5714285714285714,91,-11,75.39603960396039,15.60396039603961,301.58415841584156,364,637,0.5714285714285714,91,0,364,364,0.5714285714285714
1,3,Manufacturer 1,57,7,Retailer 1,80,57,23,0,320,560,0.5714285714285714,91,-11,75.39603960396039,15.60396039603961,301.58415841584156,364,637,0.5714285714285714,57,34,228,364,0.5714285714285714
1,4,Manufacturer 1,149,9,Retailer 1,51,51,0,98,306,459,0.6666666666666666,75,-24,50.99009900990099,24.009900990099013,305.9405940594059,450,675,0.6666666666666666,75,0,450,450,0.6666666666666666
1,5,Manufacturer 1,135,8,Retailer 1,60,60,0,75,300,480,0.625,83,-23,59.45544554455446,23.544554455445542,297.2772277227723,415,664,0.625,83,0,415,415,0.625
1,6,Manufacturer 1,94,8,Retailer 1,60,60,0,34,300,480,0.625,83,-23,59.45544554455446,23.544554455445542,297.2772277227723,415,664,0.625,83,0,415,415,0.625
1,7,Manufacturer 1,143,11,Retailer 1,0,0,0,143,0,0,0.0,58,-58,0.0,58.0,0.0,464,638,0.7272727272727273,58,0,464,464,0.7272727272727273
1,8,Manufacturer 1,66,9,Retailer 1,51,51,0,15,306,459,0.6666666666666666,75,-24,50.99009900990099,24.009900990099013,305.9405940594059,450,675,0.6666666666666666,66,9,396,450,0.6666666666666666
1,9,Manufacturer 1,123,12,Retailer 1,0,0,0,123,0,0,0.0,50,-50,0.0,50.0,0.0,450,600,0.75,50,0,450,450,0.75
1,10,Manufacturer 1,73,8,Retailer 1,60,60,0,13,300,480,0.625,83,-23,59.45544554455446,23.544554455445542,297.2772277227723,415,664,0.625,73,10,365,415,0.625
1,11,Manufacturer 1,142,9,Retailer 1,51,51,0,91,306,459,0.6666666666666666,75,-24,50.99009900990099,24.009900990099013,305.9405940594059,450,675,0.6666666666666666,75,0,450,450,0.6666666666666666
1,12,Manufacturer 1,132,9,Retailer 1,51,51,0,81,306,459,0.6666666666666666,75,-24,50.99009900990099,24.009900990099013,305.9405940594059,450,675,0.6666666666666666,75,0,450,450,0.6666666666666666
1,13,Manufacturer 1,62,7,Retailer 1,80,62,18,0,320,560,0.5714285714285714,91,-11,75.39603960396039,15.60396039603961,301.58415841584156,364,637,0.5714285714285714,62,29,248,364,0.5714285714285714
1,14,Manufacturer 1,136,9,Retailer 1,51,51,0,85,306,459,0.6666666666666666,75,-24,50.99009900990099,24.009900990099013,305.9405940594059,450,675,0.6666666666666666,75,0,450,450,0.6666666666666666
1,15,Manufacturer 1,146,8,Retailer 1,60,60,0,86,300,480,0.625,83,-23,59.45544554455446,23.544554455445542,297.2772277227723,415,664,0.625,83,0,415,415,0.625
1,16,Manufacturer 1,95,10,Retailer 1,0,0,0,95,0,0,0.0,66,-66,0.0,66.0,0.0,462,660,0.7,66,0,462,462,0.7
1,17,Manufacturer 1,139,6,Retailer 1,115,115,0,24,345,690,0.5,100,15,93.76237623762377,6.237623762376231,281.2871287128713,300,600,0.5,100,0,300,300,0.5
1,18,Manufacturer 1,102,6,Retailer 1,115,102,13,0,345,690,0.5,100,15,93.76237623762377,6.237623762376231,281.2871287128713,300,600,0.5,100,0,300,300,0.5
1,19,Manufacturer 1,83,7,Retailer 1,80,80,0,3,320,560,0.5714285714285714,91,-11,75.39603960396039,15.60396039603961,301.58415841584156,364,637,0.5714285714285714,83,8,332,364,0.5714285714285714
1,20,Manufacturer 1,142,6,Retailer 1,115,115,0,27,345,690,0.5,100,15,93.76237623762377,6.237623762376231,281.2871287128713,300,600,0.5,100,0,300,300,0.5
1,21,Manufacturer 1,80,7,Retailer 1,80,80,0,0,320,560,0.5714285714285714,91,-11,75.39603960396039,15.60396039603961,301.58415841584156,364,637,0.5714285714285714,80,11,320,364,0.5714285714285714
1,22,Manufacturer 1,101,6,Retailer 1,120,101,19,0,360,720,0.5,100,20,95.39603960396039,4.603960396039611,286.18811881188117,300,600,0.5,100,0,300,300,0.5
1,23,Manufacturer 1,113,7,Retailer 1,80,80,0,33,320,560,0.5714285714285714,91,-11,75.39603960396039,15.60396039603961,301.58415841584156,364,637,0.5714285714285714,91,0,364,364,0.5714285714285714
1,24,Manufacturer 1,104,7,Retailer 1,80,80,0,24,320,560,0.5714285714285714,91,-11,75.39603960396039,15.60396039603961,301.58415841584156,364,637,0.5714285714285714,91,0,364,364,0.5714285714285714
1,25,Manufacturer 1,51,7,Retailer 1,80,51,29,0,320,560,0.5714285714285714,91,-11,75.39603960396039,15.60396039603961,301.58415841584156,364,637,0.5714285714285714,51,40,204,364,0.5714285714285714
1,26,Manufacturer 1,76,7,Retailer 1,75,75,0,1,300,525,0.5714285714285714,91,-16,71.78217821782178,19.21782178217822,287.1287128712871,364,637,0.5714285714285714,76,15,304,364,0.5714285714285714
1,27,Manufacturer 1,73,8,Retailer 1,60,60,0,13,300,480,0.625,83,-23,59.45544554455446,23.544554455445542,297.2772277227723,415,664,0.625,73,10,365,415,0.625
