Experiment,Period,Player_ID,Demand,Wholesale_p.,Player_ID.1,Stock,Sales,Leftovers,Unmet_Demand,Realized_Mfg_Profit,Realized_Retailer_Profit,Realized_Mfg_Profit_Share,Optimal_Stock,Under/Overstock_wrt_Optimal,Expected_Sales,Expected_Leftovers,Expected_Retailer_Profit,Expected_Mfg_Profit,Expected_Mfg._Profit_Share,Predicted_Sales,Predicted_Leftovers,Predicted_Retailer_Profit,Predicted_Mfg_Profit,Realized_Retailer_Profit.1,Predicted_Mfg._Profit_Share,Behavioral_Category
1,24,Manufacturer 1,104,7,Retailer 1,80,80,0,24,320,400,0.4444444444444444,91,-11,75.65,15.349999999999994,347.80000000000007,320,0.4791853848457622,82.8,8.200000000000003,356.5999999999999,364,400,0.505134610047183,1
1,25,Manufacturer 1,51,7,Retailer 1,80,51,29,0,320,52,0.8602150537634409,91,-11,75.65,15.349999999999994,347.80000000000007,320,0.4791853848457622,82.8,8.200000000000003,356.5999999999999,364,52,0.505134610047183,1
1,26,Manufacturer 1,76,7,Retailer 1,75,75,0,1,300,375,0.4444444444444444,91,-16,72.0,19.0,339.0,300,0.4694835680751174,82.8,8.200000000000003,356.5999999999999,364,375,0.505134610047183,1
1,27,Manufacturer 1,73,8,Retailer 1,60,60,0,13,300,240,0.5555555555555556,83,-23,59.55,23.450000000000003,234.5999999999999,300,0.5611672278338946,77.72,5.280000000000001,268.64,415,240,0.6070446433795565,0
1,28,Manufacturer 1,83,9,Retailer 1,51,51,0,32,306,153,0.6666666666666666,75,-24,51.0,24.0,153.0,306,0.6666666666666666,72.0,3.0,189.0,450,153,0.704225352112676,0
1,29,Manufacturer 1,147,9,Retailer 1,51,51,0,96,306,153,0.6666666666666666,75,-24,51.0,24.0,153.0,306,0.6666666666666666,72.0,3.0,189.0,450,153,0.704225352112676,0
1,30,Manufacturer 1,115,9,Retailer 1,51,51,0,64,306,153,0.6666666666666666,75,-24,51.0,24.0,153.0,306,0.6666666666666666,72.0,3.0,189.0,450,153,0.704225352112676,0
1,31,Manufacturer 1,139,8,Retailer 1,60,60,0,79,300,240,0.5555555555555556,83,-23,59.55,23.450000000000003,234.5999999999999,300,0.5611672278338946,77.72,5.280000000000001,268.64,415,240,0.6070446433795565,0
1,32,Manufacturer 1,59,9,Retailer 1,51,51,0,8,306,153,0.6666666666666666,75,-24,51.0,24.0,153.0,306,0.6666666666666666,72.0,3.0,189.0,450,153,0.704225352112676,0
1,33,Manufacturer 1,122,9,Retailer 1,51,51,0,71,306,153,0.6666666666666666,75,-24,51.0,24.0,153.0,306,0.6666666666666666,72.0,3.0,189.0,450,153,0.704225352112676,0
1,34,Manufacturer 1,92,9,Retailer 1,51,51,0,41,306,153,0.6666666666666666,75,-24,51.0,24.0,153.0,306,0.6666666666666666,72.0,3.0,189.0,450,153,0.704225352112676,0
1,35,Manufacturer 1,93,9,Retailer 1,0,0,0,93,0,0,0.0,75,-75,0.0,75.0,0.0,0,0.0,72.0,3.0,189.0,450,0,0.704225352112676,0
1,36,Manufacturer 1,136,9,Retailer 1,0,0,0,136,0,0,0.0,75,-75,0.0,75.0,0.0,0,0.0,72.0,3.0,189.0,450,0,0.704225352112676,0
1,37,Manufacturer 1,116,8,Retailer 1,60,60,0,56,300,240,0.5555555555555556,83,-23,59.55,23.450000000000003,234.5999999999999,300,0.5611672278338946,77.72,5.280000000000001,268.64,415,240,0.6070446433795565,0
1,38,Manufacturer 1,105,8,Retailer 1,60,60,0,45,300,240,0.5555555555555556,83,-23,59.55,23.450000000000003,234.5999999999999,300,0.5611672278338946,77.72,5.280000000000001,268.64,415,240,0.6070446433795565,0
1,39,Manufacturer 1,80,8,Retailer 1,60,60,0,20,300,240,0.5555555555555556,83,-23,59.55,23.450000000000003,234.5999999999999,300,0.5611672278338946,77.72,5.280000000000001,268.64,415,240,0.6070446433795565,0
1,40,Manufacturer 1,75,8,Retailer 1,55,55,0,20,275,220,0.5555555555555556,83,-28,54.9,28.1,218.79999999999995,275,0.5569056298096395,77.72,5.280000000000001,268.64,415,220,0.6070446433795565,0
1,1,Manufacturer 2,122,8,Retailer 2,0,0,0,122,0,0,0.0,83,-83,0.0,83.0,0.0,0,0.0,77.72,5.280000000000001,268.64,415,0,0.6070446433795565,0
1,2,Manufacturer 2,144,8,Retailer 2,80,80,0,64,400,320,0.5555555555555556,83,-3,75.65,7.349999999999994,267.80000000000007,400,0.5989817310572026,77.72,5.280000000000001,268.64,415,320,0.6070446433795565,2
1,3,Manufacturer 2,57,7,Retailer 2,150,57,93,0,600,-366,2.5641025641025643,91,59,100.5,-9.5,156.0,600,0.7936507936507936,82.8,8.200000000000003,356.5999999999999,364,-366,0.505134610047183,4
1,4,Manufacturer 2,149,7,Retailer 2,120,120,0,29,480,600,0.4444444444444444,91,29,95.85,-4.849999999999994,310.1999999999998,480,0.607441154138193,82.8,8.200000000000003,356.5999999999999,364,600,0.505134610047183,4
1,5,Manufacturer 2,135,8,Retailer 2,51,51,0,84,255,204,0.5555555555555556,83,-32,51.0,32.0,204.0,255,0.5555555555555556,77.72,5.280000000000001,268.64,415,204,0.6070446433795565,0
1,6,Manufacturer 2,94,8,Retailer 2,90,90,0,4,450,360,0.5555555555555556,83,7,82.2,0.7999999999999972,266.4000000000001,450,0.6281407035175879,77.72,5.280000000000001,268.64,415,360,0.6070446433795565,3
1,7,Manufacturer 2,143,8,Retailer 2,51,51,0,92,255,204,0.5555555555555556,83,-32,51.0,32.0,204.0,255,0.5555555555555556,77.72,5.280000000000001,268.64,415,204,0.6070446433795565,0
1,8,Manufacturer 2,66,9,Retailer 2,51,51,0,15,306,153,0.6666666666666666,75,-24,51.0,24.0,153.0,306,0.6666666666666666,72.0,3.0,189.0,450,153,0.704225352112676,0
1,9,Manufacturer 2,123,8,Retailer 2,110,110,0,13,550,440,0.5555555555555556,83,27,92.3,-9.299999999999995,227.5999999999999,550,0.7073045267489713,77.72,5.280000000000001,268.64,415,440,0.6070446433795565,4
1,10,Manufacturer 2,73,9,Retailer 2,69,69,0,4,414,207,0.6666666666666666,75,-6,67.29,7.709999999999994,186.48,414,0.6894484412470023,72.0,3.0,189.0,450,207,0.704225352112676,2
1,11,Manufacturer 2,142,8,Retailer 2,110,110,0,32,550,440,0.5555555555555556,83,27,92.3,-9.299999999999995,227.5999999999999,550,0.7073045267489713,77.72,5.280000000000001,268.64,415,440,0.6070446433795565,4
1,12,Manufacturer 2,132,8,Retailer 2,90,90,0,42,450,360,0.5555555555555556,83,7,82.2,0.7999999999999972,266.4000000000001,450,0.6281407035175879,77.72,5.280000000000001,268.64,415,360,0.6070446433795565,3
